Date,Adj Close_TEBE.JK,Close_TEBE.JK,High_TEBE.JK,Low_TEBE.JK,Open_TEBE.JK,Volume_TEBE.JK
2021-10-07,426.6101379394531,640.0,690.0,635.0,690.0,383900
2021-10-08,423.2772521972656,635.0,670.0,635.0,635.0,203200
2021-10-11,466.6048278808594,700.0,715.0,605.0,640.0,573700
2021-10-12,486.60223388671875,730.0,790.0,670.0,790.0,951300
2021-10-13,486.60223388671875,730.0,745.0,720.0,730.0,465800
2021-10-14,476.6036376953125,715.0,730.0,680.0,730.0,280000
2021-10-15,476.6036376953125,715.0,730.0,695.0,715.0,84100
2021-10-18,469.9378356933594,705.0,720.0,690.0,715.0,350100
2021-10-19,463.2720031738281,695.0,700.0,675.0,695.0,218900
2021-10-21,449.94036865234375,675.0,695.0,670.0,695.0,141300
2021-10-22,439.9417419433594,660.0,675.0,650.0,675.0,167400
2021-10-25,439.9417419433594,660.0,665.0,640.0,660.0,116700
2021-10-26,439.9417419433594,660.0,690.0,650.0,660.0,118600
2021-10-27,429.94305419921875,645.0,700.0,645.0,660.0,161300
2021-10-28,433.27593994140625,650.0,675.0,635.0,650.0,88300
2021-10-29,436.6087951660156,655.0,655.0,640.0,650.0,44000
2021-11-01,429.94305419921875,645.0,655.0,635.0,655.0,71700
2021-11-02,439.9417419433594,660.0,730.0,655.0,655.0,1412900
2021-11-03,443.27459716796875,665.0,680.0,665.0,665.0,74400
2021-11-04,446.6075439453125,670.0,770.0,670.0,700.0,1506600
2021-11-05,449.94036865234375,675.0,710.0,675.0,690.0,161100
2021-11-08,439.9417419433594,660.0,695.0,640.0,685.0,480000
2021-11-09,449.94036865234375,675.0,680.0,660.0,660.0,176800
2021-11-10,449.94036865234375,675.0,675.0,665.0,675.0,73900
2021-11-11,446.6075439453125,670.0,680.0,660.0,675.0,91300
2021-11-12,439.9417419433594,660.0,670.0,640.0,670.0,289400
2021-11-15,439.9417419433594,660.0,670.0,640.0,660.0,178300
2021-11-16,446.6075439453125,670.0,670.0,635.0,650.0,235700
2021-11-17,423.2772521972656,635.0,670.0,635.0,670.0,310400
